Ni_fraction,Co_fraction,Fe_fraction,Calcination_temp_C,Surface_area_m2g,Oxygen_vacancy_percent,Ni3_Ni2_ratio,Co3_Co2_ratio,ECSA_cm2,Predicted_Overpotential,Uncertainty,EI_score
0.015308125557881783,0.9841129662489962,0.0005789081931220075,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.18490054927048,13.73173702187523,200.45316352739525
0.03262501538118867,0.9645635990219729,0.002811385596838467,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.26537336483065,13.70697056095066,200.55840280388
0.000604814334878306,0.9807004621982345,0.018694723466887164,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.32815181206306,13.748814140609666,200.5793376714534
0.03191658791079979,0.9602318670527311,0.00785154503646912,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.31634164765072,13.706796431152148,200.60954521649856
0.03303670829969768,0.9593237482630004,0.007639543437301999,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.31777397935036,13.70530213287342,200.61247184647695
0.014501095283311912,0.9693219084920789,0.01617699622460922,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.34720290181096,13.729335487051099,200.61786741475987
0.04378190733477691,0.9511092896377844,0.0051088030274386576,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.326241340296,13.691248893121033,200.63499244717497
0.0028089637259395128,0.9742064692792641,0.02298456699479634,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.3807570160517,13.744669738739118,200.63608727731258
0.0023863812362458292,0.9733166000039071,0.024297018759847133,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.3932433975346,13.745001985680567,200.64824141185403
0.01124528337290559,0.9608551402191983,0.0278995764078962,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.46043125605334,13.731459599687716,200.72897165636562
0.059389051267429924,0.9325904646546817,0.008020484077888468,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.40810814304814,13.669900587821713,200.73820755522644
0.019667907282049205,0.9525979815581394,0.027734111159811392,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.48632828851188,13.71953966330053,200.76678862521135
0.03154455501180035,0.9441747548741303,0.024280690114069414,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.48877902220318,13.703723795180622,200.78505522702255
0.07017174066542885,0.9219893514713559,0.007838907863215283,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.4414362791733,13.656026551975696,200.78540972719762
0.06855918166909952,0.922637684571749,0.008803133759151427,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.44635624393055,13.657874888599828,200.78848135533073
0.00021986729549539774,0.960973032936964,0.0388070997675406,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.5394925473066,13.745142418938967,200.79435012836763
0.0699914017649889,0.9208823708634978,0.009126227371513362,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.45444946436103,13.655973163799379,200.79847630056165
0.0022786147524544,0.9584801859136567,0.03924119933388892,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.55084353201892,13.742058944071347,200.80878458794757
0.08978740792985136,0.9080181338476357,0.0021944582225128517,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.44582618644665,13.63276301707183,200.81306316937483
0.02385132806225894,0.9438773804100045,0.032271291527736556,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.547994084233,13.712736094651435,200.83525798958158
0.06256917971941602,0.9207271055208385,0.016703714759745525,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.51025752121458,13.663874952690927,200.84638256852367
0.05707709438652607,0.9217773971709022,0.02114550844257168,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.53923114051076,13.670086276622959,200.8691448638878
0.1042218251319361,0.8942251033521567,0.0015530715159072228,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.48609099644696,13.615522570505876,200.8705684259411
0.06428935804681285,0.9171000895269527,0.01861055242623444,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.5360233415855,13.661245935797306,200.8747774057882
0.019036908799222735,0.9403117824929672,0.040651308707810085,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.6207430688743,13.717807221552826,200.9029358473215
0.04780993203136569,0.9235826039969319,0.02860746397170244,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.58775182356712,13.680784208242828,200.90696761532428
0.0031490699686775175,0.9487979631526315,0.048052966878690984,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.64680434553773,13.739066384772602,200.90773796076513
0.04351745311667344,0.9250549460194488,0.03142760086387775,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.60349767881092,13.685957168791916,200.91754051001902
0.06096436969152316,0.9132621065588524,0.025773523749624383,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.60082289580743,13.664056910078823,200.9367659857286
