Ni_fraction,Co_fraction,Fe_fraction,Calcination_temp_C,Surface_area_m2g,Oxygen_vacancy_percent,Ni3_Ni2_ratio,Co3_Co2_ratio,ECSA_cm2,Predicted_Overpotential,Uncertainty,EI_score
0.015308125557881783,0.9841129662489962,0.0005789081931220075,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.18490054927048,13.73173702187523,200.45316352739525
0.03262501538118867,0.9645635990219729,0.002811385596838467,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.26537336483065,13.70697056095066,200.55840280388
0.000604814334878306,0.9807004621982345,0.018694723466887164,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.32815181206306,13.748814140609666,200.5793376714534
0.03191658791079979,0.9602318670527311,0.00785154503646912,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.31634164765072,13.706796431152148,200.60954521649856
0.03303670829969768,0.9593237482630004,0.007639543437301999,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.31777397935036,13.70530213287342,200.61247184647695
0.014501095283311912,0.9693219084920789,0.01617699622460922,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.34720290181096,13.729335487051099,200.61786741475987
0.04378190733477691,0.9511092896377844,0.0051088030274386576,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.326241340296,13.691248893121033,200.63499244717497
0.0028089637259395128,0.9742064692792641,0.02298456699479634,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.3807570160517,13.744669738739118,200.63608727731258
0.0023863812362458292,0.9733166000039071,0.024297018759847133,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.3932433975346,13.745001985680567,200.64824141185403
0.01124528337290559,0.9608551402191983,0.0278995764078962,454.0,126.32,11.772,2.2851999999999997,1.21,99.36,214.46043125605334,13.731459599687716,200.72897165636562
